路線名稱,百公尺樁號KM,WGS84_E,WGS84_N
國10,8.4,120.3596984,22.71802163
國10,8.5,120.3596874,22.71892463
國10,8.6,120.3596764,22.71982762
國10,8.7,120.3596718,22.72073064
國10,8.8,120.3597141,22.72163267
國10,8.9,120.3597981,22.72253231
國10,9.0,120.3599014,22.72343024
國10,9.1,120.3600081,22.72432786
國10,9.2,120.3601147,22.72522548
國10,9.3,120.3602213,22.7261231
國10,9.4,120.3603279,22.72702072
國10,9.5,120.3604345,22.72791834
國10,9.6,120.3605411,22.72881596
國10,9.7,120.3606478,22.72971358
國10,9.8,120.3607243,22.73061361
國10,9.9,120.3607481,22.73151638
國10,10.0,120.3607759,22.73241897
國10,10.1,120.3608857,22.7333159
國10,10.2,120.3610186,22.73421049
國10,10.3,120.3611516,22.73510508
國10,10.4,120.3612786,22.7360004
國10,10.5,120.3613995,22.73689646
國10,10.6,120.3615205,22.73779253
國10,10.7,120.3616414,22.73868859
國10,10.8,120.3617623,22.73958465
國10,10.9,120.3618832,22.74048072
國10,11.0,120.3620041,22.74137678
國10,11.1,120.3621251,22.74227284
國10,11.2,120.362246,22.7431689
國10,11.3,120.3623703,22.74406456
國10,11.4,120.3625141,22.74495763
國10,11.5,120.3626861,22.74584633
國10,11.6,120.3628979,22.74672753
國10,11.7,120.3631674,22.74759512
國10,11.8,120.363503,22.74844246
國10,11.9,120.3639004,22.74926656
國10,12.0,120.3643622,22.75006127
國10,12.1,120.3648806,22.75082532
國10,12.2,120.3654579,22.75155225
國10,12.3,120.3660817,22.75224552
國10,12.4,120.366736,22.7529141
國10,12.5,120.3674246,22.75355227
國10,12.6,120.3681402,22.75416435
國10,12.7,120.3688844,22.75474646
國10,12.8,120.3696585,22.75529398
國10,12.9,120.3704565,22.75581129
國10,13.0,120.3712792,22.75629391
國10,13.1,120.3721238,22.75674285
國10,13.2,120.3729885,22.75715767
國10,13.3,120.3738722,22.75753651
國10,13.4,120.3747735,22.75787796
國10,13.5,120.3756901,22.75818246
國10,13.6,120.3766207,22.7584477
國10,13.7,120.3775611,22.75868198
國10,13.8,120.3785091,22.75888769
國10,13.9,120.3794615,22.75907554
國10,14.0,120.380418,22.75924418
國10,14.1,120.3813771,22.7594001
國10,14.2,120.3823366,22.75955394
國10,14.3,120.3832961,22.75970778
國10,14.4,120.3842556,22.75986161
國10,14.5,120.385212,22.76003091
國10,14.6,120.3861632,22.76022378
國10,14.7,120.3871051,22.76045266
國10,14.8,120.3880351,22.76071981
國10,14.9,120.3889491,22.76103082
國10,15.0,120.389845,22.76138411
國10,15.1,120.3907205,22.76177902
國10,15.2,120.3915732,22.76221463
國10,15.3,120.3924025,22.76268738
國10,15.4,120.3932056,22.76319774
國10,15.5,120.393977,22.76374842
國10,15.6,120.3947287,22.76432213
國10,15.7,120.3954658,22.76491212
國10,15.8,120.3962021,22.76550294
國10,15.9,120.3969432,22.76608861
國10,16.0,120.3977004,22.76665612
國10,16.1,120.3984864,22.76718909
國10,16.2,120.3993003,22.76768463
國10,16.3,120.4001377,22.76814502
國10,16.4,120.4009948,22.7685734
國10,16.5,120.4018773,22.7689548
國10,16.6,120.4027704,22.76931442
國10,16.7,120.4036728,22.76965348
國10,16.8,120.4045757,22.7699914
國10,16.9,120.4054785,22.77032931
國10,17.0,120.4063814,22.77066722
國10,17.1,120.4072843,22.77100512
國10,17.2,120.4081872,22.77134302
國10,17.3,120.4090905,22.77167958
國10,17.4,120.4099939,22.77201583
國10,17.5,120.4108973,22.77235207
國10,17.6,120.4118007,22.77268831
國10,17.7,120.4127041,22.77302454
國10,17.8,120.4136064,22.77336323
國10,17.9,120.4145051,22.77371026
國10,18.0,120.4153894,22.77408756
國10,18.1,120.4162624,22.77448683
國10,18.2,120.4171112,22.77492858
國10,18.3,120.4179359,22.77540786
國10,18.4,120.4187335,22.77592525
國10,18.5,120.4195039,22.77647693
國10,18.6,120.4202448,22.77706243
國10,18.7,120.4209574,22.77767756
國10,18.8,120.4216379,22.77832328
國10,18.9,120.4222773,22.77900423
國10,19.0,120.4228837,22.77971073
國10,19.1,120.4234609,22.78043788
國10,19.2,120.4240031,22.78118788
國10,19.3,120.4245125,22.78195742
國10,19.4,120.4249966,22.7827409
國10,19.5,120.4254682,22.78353102
國10,19.6,120.4259259,22.78432809
國10,19.7,120.4263837,22.78512516
國10,19.8,120.4268415,22.78592223
國10,19.9,120.4273052,22.78671632
國10,20.0,120.4277861,22.78750151
國10,20.1,120.4282945,22.78827163
國10,20.2,120.4288265,22.78902794
國10,20.3,120.4293983,22.78975875
國10,20.4,120.4300059,22.7904642
國10,20.5,120.4306434,22.79114674
國10,20.6,120.4313186,22.79179721
國10,20.7,120.4320281,22.79241545
國10,20.8,120.4327678,22.79300237
國10,20.9,120.4335359,22.79355683
國10,21.0,120.4343304,22.79407853
國10,21.1,120.4351525,22.79456196
國10,21.2,120.4359978,22.79500982
國10,21.3,120.4368646,22.79542086
國10,21.4,120.4377542,22.79578725
國10,21.5,120.4386649,22.79610608
國10,21.6,120.4395934,22.79637694
國10,21.7,120.4405403,22.7965863
國10,21.8,120.4414983,22.79674623
國10,21.9,120.4424655,22.79684883
國10,22.0,120.4434377,22.79689382
國10,22.1,120.4444112,22.79688406
國10,22.2,120.4453821,22.79681687
國10,22.3,120.4463499,22.79671856
國10,22.4,120.4473175,22.79661906
國10,22.5,120.4482887,22.79655826
國10,22.6,120.449262,22.7965744
國10,22.7,120.4502303,22.79666583
國10,22.8,120.4511876,22.79682953
國10,22.9,120.4521323,22.79704851
國10,23.0,120.4530776,22.79726522
國10,23.1,120.4540336,22.79743529
國10,23.2,120.4550018,22.79752947
國10,23.3,120.455975,22.79755003
國10,23.4,120.4569475,22.79750375
國10,23.5,120.4579177,22.79742545
國10,23.6,120.458887,22.79733832
國10,23.7,120.4598568,22.7972551
國10,23.8,120.4608277,22.7971849
國10,23.9,120.4618006,22.79714134
國10,24.0,120.4627745,22.7971346
國10,24.1,120.4637477,22.79716668
國10,24.2,120.4647192,22.79723087
國10,24.3,120.4656868,22.79733301
國10,24.4,120.4666496,22.79746909
國10,24.5,120.4676048,22.79764533
國10,24.6,120.4685522,22.79785437
國10,24.7,120.4694911,22.79809415
國10,24.8,120.4704181,22.79837112
國10,24.9,120.4713315,22.7986848
國10,25.0,120.4722314,22.79903002
國10,25.1,120.4731152,22.79940948
國10,25.2,120.4739825,22.79982043
國10,25.3,120.4748304,22.80026461
國10,25.4,120.4756594,22.80073841
國10,25.5,120.4764683,22.80124138
國10,25.6,120.4772535,22.80177555
國10,25.7,120.478012,22.8023419
國10,25.8,120.4787494,22.80293172
國10,25.9,120.4794607,22.80354845
國10,26.0,120.4801444,22.80419142
國10,26.1,120.4808014,22.80485799
國10,26.2,120.4814287,22.80554873
國10,26.3,120.4820229,22.80626416
國10,26.4,120.482589,22.80699896
國10,26.5,120.4831223,22.80775459
國10,26.6,120.4836189,22.80853141
國10,26.7,120.4840848,22.80932436
國10,26.8,120.4845155,22.81013421
國10,26.9,120.4849126,22.81095876
國10,27.0,120.4852714,22.81179827
國10,27.1,120.4855927,22.81265068
國10,27.2,120.485879,22.81351375
國10,27.3,120.4861277,22.81438676
國10,27.4,120.4863437,22.81526732
國10,27.5,120.4865274,22.81615412
國10,27.6,120.4866846,22.81704534
國10,27.7,120.4868264,22.81793873
國10,27.8,120.4869565,22.8188337
國10,27.9,120.4870806,22.81972939
國10,28.0,120.4872048,22.82062508
國10,28.1,120.487329,22.82152078
國10,28.2,120.4874709,22.82241418
國10,28.3,120.487643,22.82330296
國10,28.4,120.4878482,22.82418563
國10,28.5,120.4880924,22.8250597
國10,28.6,120.4883726,22.82592443
國10,28.7,120.4886867,22.82677911
國10,28.8,120.4890422,22.82761982
國10,28.9,120.4894326,22.82844715
國10,29.0,120.4898569,22.82925992
國10,29.1,120.4903192,22.83005466
國10,29.2,120.4908116,22.83083378
國10,29.3,120.4913324,22.83159688
國10,29.4,120.491864,22.83235366
國10,29.5,120.4923957,22.83311043
國10,29.6,120.4929192,22.83387202
國10,29.7,120.4934283,22.83464188
國10,29.8,120.4939033,22.83543016
國10,29.9,120.4943357,22.83623932
國10,30.0,120.4947185,22.83706956
國10,30.1,120.4950568,22.83791627
國10,30.2,120.4953451,22.83877875
國10,30.3,120.4955829,22.83965428
國10,30.4,120.4957724,22.84053991
國10,30.5,120.4959101,22.84143375
國10,30.6,120.4959974,22.84233295
國10,30.7,120.4960179,22.84323552
國10,30.8,120.4959567,22.84413639
國10,30.9,120.4958143,22.84502946
國10,31.0,120.4955941,22.84590884
國10,31.1,120.4953249,22.84677675
國10,31.2,120.4950645,22.84764689
國10,31.3,120.494862,22.84852986
國10,31.4,120.4947393,22.8494255
國10,31.5,120.4947009,22.85032747
國10,31.6,120.4947406,22.85122945
國10,31.7,120.4948339,22.85212829
國10,31.8,120.4949287,22.85302702
國10,31.9,120.4949653,22.85392906
國10,32.0,120.4948912,22.85482861
國10,32.1,120.4946948,22.85571244
國10,32.2,120.494384,22.85656769
國10,32.3,120.4939562,22.85737812
國10,32.4,120.4934389,22.85814293
國10,32.5,120.4928714,22.85887702
國10,32.6,120.492314,22.85961748
國10,32.7,120.4918511,22.86041123
國10,32.8,120.4915299,22.86126268
國10,32.9,120.4913604,22.86215094
國10,33.0,120.4913459,22.86305265
國10,33.1,120.4914896,22.86394479
